no,customerID,productID,quantity,price,transactionDate,paymentMethod,storeLocation,productCategory,discountAppliedInPercentage,totalAmount
1,109318,C,7,80.07984415,12/26/2023 12:32,Cash,"176 Andrew Cliffs
Baileyfort, HI 93354",Books,18.6770995,455.8627638
2,993229,C,4,75.19522942,8/5/2023 0:00,Cash,"11635 William Well Suite 809
East Kara, MT 19483",Home Decor,14.12136502,258.3065464
3,579675,A,8,31.52881648,3/11/2024 18:51,Cash,"910 Mendez Ville Suite 909
Port Lauraland, MO 99563",Books,15.94370066,212.0156509
4,799826,D,5,98.88021828,10/27/2023 22:00,PayPal,"87522 Sharon Corners Suite 500
Lake Tammy, MO 76234",Books,6.68633678,461.3437694
5,121413,A,7,93.18851246,12/22/2023 11:38,Cash,"0070 Michelle Island Suite 143
Holand, VA 80142",Electronics,4.030095691,626.0304837
6,463050,D,3,54.09315249,8/15/2023 4:24,Cash,"8492 Jonathan Drive
North Robertshire, TN 67532",Electronics,10.88876836,144.6092233
7,888163,D,7,13.12193739,12/26/2023 5:32,PayPal,"USNV Harrell
FPO AA 62814",Clothing,16.29512671,76.88590745
8,843385,A,8,56.02516419,10/11/2023 6:48,Debit Card,"489 Juan Loop Apt. 093
North Brettville, WV 72610",Home Decor,6.344305684,419.7660521
9,839609,B,5,23.85798105,2/27/2024 11:13,Credit Card,"528 Justin Expressway Apt. 336
Cabreraborough, SD 17915",Electronics,18.70399725,96.97792465
10,184135,D,4,63.3427768,11/5/2023 1:46,Debit Card,"189 Wright Mews
Martinfurt, MO 75932",Books,7.640606649,234.0120175
11,266491,C,8,98.79272609,9/25/2023 4:38,Debit Card,"388 Matthew Lane Apt. 592
West Andreachester, IN 96537",Books,14.17495322,678.3112271
12,65632,D,8,78.12314235,12/29/2023 5:07,PayPal,"PSC 1498, Box 4142
APO AP 10928",Electronics,14.70431078,533.0853817
13,26863,B,3,39.003285,12/27/2023 15:34,Credit Card,"623 William Track Apt. 920
Port Dave, NE 02045",Electronics,14.3684358,100.1973691
14,632732,D,6,45.47433964,2/8/2024 8:03,Cash,"5370 Nichols Fork Suite 983
Georgeshire, MT 20848",Books,10.57461814,243.9936112
